,Inter_No,Intersection,long,lat,Grid_ID,X,Y
0,0,3,120.6676563,31.30835368,46,3,1
1,1,8,120.7523036,31.31914433,38,2,8
2,2,22,120.7519357,31.32337276,38,2,8
3,3,51,120.7210332,31.28812589,80,5,5
4,4,61,120.8192882,31.34145759,14,0,14
5,5,147,120.664491,31.32624755,15,1,0
6,6,220,120.7282268,31.33914436,6,0,6
7,7,224,120.7514571,31.33519773,8,0,8
8,8,257,120.7002408,31.32594564,18,1,3
9,9,265,120.7234369,31.26601363,110,7,5
10,10,271,120.6674156,31.31781142,31,2,1
11,11,330,120.7001983,31.32746748,18,1,3
12,12,387,120.6577615,31.29137701,75,5,0
13,13,393,120.7175668,31.31932201,35,2,5
14,14,404,120.7293041,31.31492916,36,2,6
15,15,445,120.6958969,31.33119957,18,1,3
16,16,501,120.666634,31.31993259,30,2,0
17,17,518,120.7153715,31.33341889,20,1,5
18,18,560,120.7516483,31.33072952,23,1,8
19,19,566,120.7199547,31.31035781,50,3,5
20,20,573,120.6558009,31.32458402,15,1,0
21,21,579,120.7207355,31.28125692,95,6,5
22,22,581,120.7438501,31.32258442,37,2,7
23,23,597,120.7166829,31.32165732,35,2,5
24,24,606,120.6912788,31.29805242,63,4,3
25,25,611,120.6652401,31.32403626,15,1,0
26,26,638,120.7133101,31.30084546,64,4,4
27,27,644,120.7157338,31.32962008,20,1,5
28,28,685,120.7055379,31.32477345,19,1,4
29,29,744,120.7602295,31.33175196,23,1,8
30,30,795,120.7189553,31.31553684,35,2,5
31,31,830,120.7214374,31.33426538,5,0,5
32,32,905,120.7086174,31.32075955,34,2,4
33,33,959,120.7255568,31.25241957,141,9,6
34,34,968,120.722614,31.32025398,35,2,5
35,35,973,120.7522281,31.31696209,38,2,8
36,36,1005,120.7285794,31.33077645,21,1,6
37,37,1017,120.7043178,31.29993576,64,4,4
38,38,1050,120.7180798,31.29267807,80,5,5
39,39,1074,120.7093331,31.32043961,34,2,4
40,40,1107,120.7287029,31.3403425,6,0,6
41,41,1113,120.743738,31.32990446,22,1,7
42,42,1114,120.7083828,31.33261119,19,1,4
43,43,1137,120.664166,31.32892183,15,1,0
44,44,1210,120.6583252,31.28915428,75,5,0
45,45,1244,120.6674493,31.29857232,61,4,1
46,46,1259,120.7517474,31.32835949,23,1,8
47,47,1292,120.7330703,31.28797163,81,5,6
48,48,1307,120.7205629,31.29253051,80,5,5
49,49,1348,120.7082486,31.32771035,19,1,4
50,50,1351,120.7283711,31.33716458,6,0,6
51,51,1379,120.7149293,31.33807224,5,0,5
52,52,1424,120.6676857,31.31123604,46,3,1
53,53,1483,120.6948391,31.33500418,3,0,3
54,54,1497,120.7298225,31.28818329,81,5,6
55,55,1572,120.7336245,31.29803598,66,4,6
56,56,1575,120.6615207,31.28928021,75,5,0
57,57,1579,120.7224304,31.32229468,35,2,5
58,58,1615,120.728903,31.32823498,21,1,6
59,59,1616,120.728998,31.32096944,36,2,6
60,60,1639,120.7555941,31.33119,23,1,8
61,61,1670,120.7298854,31.29430781,66,4,6
62,62,1694,120.7375504,31.28821322,82,5,7
63,63,1711,120.8115237,31.33907886,13,0,13
64,64,1741,120.7180912,31.28815582,80,5,5
65,65,1767,120.7065066,31.32427408,19,1,4
66,66,1785,120.7134791,31.28827574,79,5,4
67,67,1844,120.7234018,31.31035137,50,3,5
68,68,1850,120.716298,31.325196,20,1,5
69,69,1873,120.7283474,31.3352766,6,0,6
70,70,1879,120.7364047,31.31665626,36,2,6
71,71,1882,120.7513123,31.33866271,8,0,8
72,72,1901,120.6674755,31.30073127,61,4,1
73,73,1902,120.7086984,31.32441869,19,1,4
74,74,1905,120.7363073,31.31546261,36,2,6
75,75,1914,120.7205751,31.28247664,95,6,5
76,76,1926,120.7549824,31.2936317,68,4,8
77,77,2049,120.7549323,31.28821599,83,5,8
78,78,2050,120.7364057,31.31059468,51,3,6
79,79,2053,120.666579,31.31768984,30,2,0
80,80,2063,120.6676387,31.30949192,46,3,1
81,81,2103,120.6562663,31.31835117,30,2,0
82,82,2123,120.7159123,31.32759688,20,1,5
83,83,2134,120.7218257,31.3294921,20,1,5
84,84,2141,120.6660897,31.31857521,30,2,0
85,85,2149,120.7294689,31.31045025,51,3,6
86,86,2180,120.6959873,31.32746764,18,1,3
87,87,2258,120.694923,31.33447628,3,0,3
88,88,2386,120.7075783,31.3368306,4,0,4
89,89,2417,120.666933,31.31077748,45,3,0
90,90,2429,120.7844857,31.33428534,11,0,11
91,91,2494,120.721952,31.32788657,20,1,5
92,92,2519,120.7082334,31.33013432,19,1,4
93,93,2542,120.6562555,31.32262205,30,2,0
94,94,2599,120.6730022,31.29539816,61,4,1
95,95,2703,120.7068681,31.32097004,34,2,4
96,96,2725,120.7362234,31.32178787,36,2,6
97,97,2741,120.7510965,31.34382057,8,0,8
98,98,2766,120.752463,31.31108397,53,3,8
99,99,2959,120.7202707,31.29935715,65,4,5
100,100,2963,120.7281132,31.34024517,6,0,6
101,101,2989,120.7132471,31.32488014,19,1,4
102,102,3050,120.7616764,31.31151459,54,3,9
103,103,3077,120.7339311,31.29358572,66,4,6
104,104,3106,120.6552405,31.32723268,15,1,0
105,105,3217,120.7361133,31.32901674,21,1,6
106,106,3291,120.6563522,31.32205596,30,2,0
107,107,3393,120.7146443,31.2926423,80,5,5
